timestamp,fire_count,fire_frp_sum,fire_brightness_sum
2025-04-21 13:00:00,99,1265.3899999999999,34267.45
2025-04-22 02:00:00,43,80.2,13445.4
2025-04-22 13:00:00,90,938.07,31500.74
2025-04-23 01:00:00,55,51.65,16854.17
2025-04-23 13:00:00,149,2898.67,52082.22
2025-04-24 01:00:00,73,111.72,22525.91
2025-04-24 03:00:00,5,10.26,1502.53
2025-04-24 12:00:00,234,2098.88,81174.28
2025-04-24 14:00:00,43,513.72,15018.96
2025-04-25 01:00:00,66,145.5,20369.86
2025-04-25 02:00:00,42,68.5,12947.72
2025-04-25 03:00:00,32,66.59,9963.55
2025-04-25 12:00:00,169,2361.42,58880.62
2025-04-25 14:00:00,390,3740.98,136618.12
2025-04-26 01:00:00,18,37.4,5473.21
2025-04-26 02:00:00,158,270.2,48752.52
2025-04-26 12:00:00,3,19.979999999999997,1000.8599999999999
2025-04-26 13:00:00,293,3274.26,101047.19
2025-04-27 02:00:00,239,663.11,74562.84
2025-04-27 13:00:00,552,5974.66,192037.77
2025-04-28 02:00:00,323,535.81,101295.81
2025-04-28 13:00:00,265,4307.36,92302.68
2025-04-29 01:00:00,185,338.47,57825.32
2025-04-29 03:00:00,8,19.69,2453.96
2025-04-29 13:00:00,592,4329.0,202282.6
2025-04-29 14:00:00,23,179.41,7834.64
2025-04-30 01:00:00,99,155.21,30650.54
2025-04-30 03:00:00,45,61.24,13911.35
2025-04-30 12:00:00,416,2348.88,141261.09
2025-04-30 14:00:00,289,1808.89,99059.69
2025-05-01 01:00:00,8,13.93,2462.41
2025-05-01 02:00:00,103,150.76,31859.53
2025-05-01 12:00:00,28,269.05,9465.63
2025-05-01 14:00:00,617,4571.68,210024.64
2025-05-02 02:00:00,5,4.4,1509.44
2025-05-02 13:00:00,45,215.28,15255.29
2025-05-03 02:00:00,5,7.2,1557.32
2025-05-03 13:00:00,67,567.89,22829.79
2025-05-04 01:00:00,12,10.88,3642.25
2025-05-04 13:00:00,864,4520.21,293099.13
2025-05-05 03:00:00,1,1.71,306.77
2025-05-05 12:00:00,74,465.07,25250.51
2025-05-05 14:00:00,53,257.91,17876.84
2025-05-06 01:00:00,1,0.27,296.85
2025-05-06 02:00:00,14,12.66,4239.01
2025-05-06 12:00:00,38,295.31,12801.82
2025-05-06 14:00:00,468,2462.65,158928.34
